trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
3627086,13:25:00,13:25:00,33080,18,0,0
3627086,13:26:00,13:26:00,45975,19,0,0
3627086,13:26:00,13:26:00,45985,20,0,0
3627086,13:26:00,13:26:00,45977,21,0,0
3627086,13:28:00,13:28:00,45979,22,0,0
3627086,13:28:00,13:28:00,05750,23,0,0
3627086,13:28:00,13:28:00,05730,24,0,0
3627086,13:29:00,13:29:00,36090,25,0,0
3627086,13:29:00,13:29:00,36100,26,0,0
3627086,13:29:00,13:29:00,36110,27,0,0
3627086,13:30:00,13:30:00,36120,28,0,0
3627086,13:31:00,13:31:00,31060,29,0,0
3627086,13:31:00,13:31:00,31030,30,0,0
3627086,13:32:00,13:32:00,31010,31,0,0
3627086,13:32:00,13:32:00,30990,32,0,0
3627086,13:33:00,13:33:00,30970,33,0,0
3627086,13:33:00,13:33:00,30950,34,0,0
3627086,13:34:00,13:34:00,30951,35,0,0
3627086,13:35:00,13:35:00,30952,36,0,0
3627086,13:37:00,13:37:00,60280,37,1,0
3627088,14:01:00,14:01:00,45947,1,0,0
3627088,14:02:00,14:02:00,60291,2,0,0
3627088,14:03:00,14:03:00,00720,3,0,0
3627088,14:03:00,14:03:00,00750,4,0,0
3627088,14:04:00,14:04:00,09680,5,0,0
3627088,14:04:00,14:04:00,09695,6,0,0
3627088,14:05:00,14:05:00,04220,7,0,0
3627088,14:05:00,14:05:00,16650,8,0,0
3627088,14:05:00,14:05:00,11230,9,0,0
3627088,14:06:00,14:06:00,11250,10,0,0
3627088,14:06:00,14:06:00,30230,11,0,0
3627088,14:06:00,14:06:00,30240,12,0,0
3627088,14:07:00,14:07:00,45955,13,0,0
3627088,14:08:00,14:08:00,45820,14,0,0
3627088,14:08:00,14:08:00,45965,15,0,0
3627088,14:09:00,14:09:00,46393,16,0,0
3627088,14:10:00,14:10:00,09420,17,0,0
3627088,14:10:00,14:10:00,33080,18,0,0
3627088,14:11:00,14:11:00,45975,19,0,0
3627088,14:11:00,14:11:00,45985,20,0,0
3627088,14:11:00,14:11:00,45977,21,0,0
3627088,14:13:00,14:13:00,45979,22,0,0
3627088,14:13:00,14:13:00,05750,23,0,0
3627088,14:13:00,14:13:00,05730,24,0,0
3627088,14:14:00,14:14:00,36090,25,0,0
3627088,14:14:00,14:14:00,36100,26,0,0
3627088,14:14:00,14:14:00,36110,27,0,0
3627088,14:15:00,14:15:00,36120,28,0,0
3627088,14:16:00,14:16:00,31060,29,0,0
3627088,14:16:00,14:16:00,31030,30,0,0
3627088,14:17:00,14:17:00,31010,31,0,0
3627088,14:17:00,14:17:00,30990,32,0,0
3627088,14:18:00,14:18:00,30970,33,0,0
3627088,14:18:00,14:18:00,30950,34,0,0
3627088,14:19:00,14:19:00,30951,35,0,0
3627088,14:20:00,14:20:00,30952,36,0,0
3627088,14:22:00,14:22:00,60280,37,1,0
3627089,16:02:00,16:02:00,60280,1,0,0
3627089,16:04:00,16:04:00,30942,2,0,0
3627089,16:04:00,16:04:00,30941,3,0,0
3627089,16:05:00,16:05:00,30940,4,0,0
3627089,16:05:00,16:05:00,30960,5,0,0
3627089,16:06:00,16:06:00,30980,6,0,0
3627089,16:06:00,16:06:00,31000,7,0,0
3627089,16:07:00,16:07:00,31020,8,0,0
3627089,16:07:00,16:07:00,31040,9,0,0
3627089,16:07:00,16:07:00,31070,10,0,0
3627089,16:08:00,16:08:00,31080,11,0,0
3627089,16:10:00,16:10:00,32490,12,0,0
3627089,16:10:00,16:10:00,32480,13,0,0
3627089,16:11:00,16:11:00,32470,14,0,0
3627089,16:12:00,16:12:00,32455,15,0,0
3627089,16:13:00,16:13:00,45925,16,0,0
3627089,16:14:00,16:14:00,45935,17,0,0
3627089,16:15:00,16:15:00,45945,18,0,0
3627089,16:16:00,16:16:00,45947,19,1,0
3627090,21:23:00,21:23:00,60280,1,0,0
3627090,21:25:00,21:25:00,30942,2,0,0
3627090,21:25:00,21:25:00,30941,3,0,0
3627090,21:25:00,21:25:00,30940,4,0,0
3627090,21:26:00,21:26:00,30960,5,0,0
3627090,21:26:00,21:26:00,30980,6,0,0
3627090,21:26:00,21:26:00,31000,7,0,0
3627090,21:27:00,21:27:00,31020,8,0,0
3627090,21:27:00,21:27:00,31040,9,0,0
3627090,21:27:00,21:27:00,31070,10,0,0
3627090,21:28:00,21:28:00,31080,11,0,0
3627090,21:30:00,21:30:00,32490,12,0,0
3627090,21:30:00,21:30:00,32480,13,0,0
3627090,21:30:00,21:30:00,32470,14,0,0
3627090,21:31:00,21:31:00,32455,15,0,0
3627090,21:32:00,21:32:00,45925,16,0,0
3627090,21:33:00,21:33:00,45935,17,0,0
3627090,21:34:00,21:34:00,45945,18,0,0
3627090,21:35:00,21:35:00,45947,19,1,0
3627091,15:31:00,15:31:00,45947,1,0,0
3627091,15:32:00,15:32:00,60291,2,0,0
3627091,15:33:00,15:33:00,00720,3,0,0
3627091,15:33:00,15:33:00,00750,4,0,0
3627091,15:34:00,15:34:00,09680,5,0,0
3627091,15:34:00,15:34:00,09695,6,0,0
3627091,15:35:00,15:35:00,04220,7,0,0
3627091,15:35:00,15:35:00,16650,8,0,0
3627091,15:35:00,15:35:00,11230,9,0,0
3627091,15:36:00,15:36:00,11250,10,0,0
3627091,15:36:00,15:36:00,30230,11,0,0
3627091,15:36:00,15:36:00,30240,12,0,0
3627091,15:37:00,15:37:00,45955,13,0,0
3627091,15:38:00,15:38:00,45820,14,0,0
3627091,15:38:00,15:38:00,45965,15,0,0
3627091,15:39:00,15:39:00,46393,16,0,0
3627091,15:40:00,15:40:00,09420,17,0,0
3627091,15:40:00,15:40:00,33080,18,0,0
3627091,15:41:00,15:41:00,45975,19,0,0
3627091,15:41:00,15:41:00,45985,20,0,0
3627091,15:41:00,15:41:00,45977,21,0,0
3627091,15:43:00,15:43:00,45979,22,0,0
3627091,15:43:00,15:43:00,05750,23,0,0
3627091,15:43:00,15:43:00,05730,24,0,0
3627091,15:44:00,15:44:00,36090,25,0,0
3627091,15:44:00,15:44:00,36100,26,0,0
3627091,15:44:00,15:44:00,36110,27,0,0
3627091,15:45:00,15:45:00,36120,28,0,0
3627091,15:46:00,15:46:00,31060,29,0,0
3627091,15:46:00,15:46:00,31030,30,0,0
3627091,15:47:00,15:47:00,31010,31,0,0
3627091,15:47:00,15:47:00,30990,32,0,0
3627091,15:48:00,15:48:00,30970,33,0,0
3627091,15:48:00,15:48:00,30950,34,0,0
3627091,15:49:00,15:49:00,30951,35,0,0
3627091,15:50:00,15:50:00,30952,36,0,0
3627091,15:52:00,15:52:00,60280,37,1,0
3627092,16:16:00,16:16:00,45947,1,0,0
3627092,16:17:00,16:17:00,60291,2,0,0
3627092,16:18:00,16:18:00,00720,3,0,0
3627092,16:18:00,16:18:00,00750,4,0,0
3627092,16:19:00,16:19:00,09680,5,0,0
3627092,16:19:00,16:19:00,09695,6,0,0
3627092,16:20:00,16:20:00,04220,7,0,0
3627092,16:20:00,16:20:00,16650,8,0,0
3627092,16:20:00,16:20:00,11230,9,0,0
3627092,16:21:00,16:21:00,11250,10,0,0
3627092,16:21:00,16:21:00,30230,11,0,0
3627092,16:21:00,16:21:00,30240,12,0,0
3627092,16:22:00,16:22:00,45955,13,0,0
3627092,16:23:00,16:23:00,45820,14,0,0
3627092,16:23:00,16:23:00,45965,15,0,0
3627092,16:24:00,16:24:00,46393,16,0,0
3627092,16:25:00,16:25:00,09420,17,0,0
3627092,16:25:00,16:25:00,33080,18,0,0
3627092,16:26:00,16:26:00,45975,19,0,0
3627092,16:26:00,16:26:00,45985,20,0,0
3627092,16:26:00,16:26:00,45977,21,0,0
3627092,16:28:00,16:28:00,45979,22,0,0
3627092,16:28:00,16:28:00,05750,23,0,0
3627092,16:28:00,16:28:00,05730,24,0,0
3627092,16:29:00,16:29:00,36090,25,0,0
3627092,16:29:00,16:29:00,36100,26,0,0
3627092,16:29:00,16:29:00,36110,27,0,0
3627092,16:30:00,16:30:00,36120,28,0,0
3627092,16:31:00,16:31:00,31060,29,0,0
3627092,16:31:00,16:31:00,31030,30,0,0
3627092,16:32:00,16:32:00,31010,31,0,0
