service_id,date,exception_type
TRYON-Weekday-1-BUS-19-10-1111100,20191226,1
TRYON-Weekday-1-BUS-19-10-1111100,20191227,1
TRYON-Weekday-1-BUS-19-10-1111100,20191230,1
TRYON-Weekday-1-BUS-19-10-1111100,20191231,1
TRYON-Weekday-1-BUS-19-10-1111100,20200102,1
TRYON-Weekday-1-BUS-19-10-1111100,20200103,1
TRYON-Weekday-1-BUS-19-10-1111100,20200106,1
TRYON-Weekday-1-BUS-19-10-1111100,20200107,1
TRYON-Weekday-1-BUS-19-10-1111100,20200108,1
TRYON-Weekday-1-BUS-19-10-1111100,20200109,1
TRYON-Weekday-1-BUS-19-10-1111100,20200110,1
TRYON-Weekday-1-BUS-19-10-1111100,20200113,1
TRYON-Weekday-1-BUS-19-10-1111100,20200114,1
TRYON-Weekday-1-BUS-19-10-1111100,20200115,1
TRYON-Weekday-1-BUS-19-10-1111100,20200116,1
TRYON-Weekday-1-BUS-19-10-1111100,20200117,1
TRYON-Weekday-1-BUS-19-10-1111100,20200121,1
TRYON-Weekday-1-BUS-19-10-1111100,20200122,1
TRYON-Weekday-1-BUS-19-10-1111100,20200123,1
TRYON-Weekday-1-BUS-19-10-1111100,20200124,1
TRYON-Weekday-1-BUS-19-10-1111100,20200127,1
TRYON-Weekday-1-BUS-19-10-1111100,20200128,1
TRYON-Weekday-1-BUS-19-10-1111100,20200129,1
TRYON-Weekday-1-BUS-19-10-1111100,20200130,1
TRYON-Weekday-1-BUS-19-10-1111100,20200131,1
TRYON-Weekday-2-BUS-19-06-0000100,20190927,1
TRYON-Weekday-2-BUS-19-06-0000100,20191004,1
TRYON-Weekday-2-BUS-19-06-1111000,20190926,1
TRYON-Weekday-2-BUS-19-06-1111000,20190930,1
TRYON-Weekday-2-BUS-19-06-1111000,20191001,1
TRYON-Weekday-2-BUS-19-06-1111000,20191002,1
TRYON-Weekday-2-BUS-19-06-1111000,20191003,1
TRYON-Weekday-2-BUS-19-06-1111100,20190926,1
TRYON-Weekday-2-BUS-19-06-1111100,20190930,1
TRYON-Weekday-2-BUS-19-06-1111100,20191001,1
TRYON-Weekday-2-BUS-19-06-1111100,20191002,1
TRYON-Weekday-2-BUS-19-06-1111100,20191003,1
TRYON-Weekday-2-BUS-19-06-1111100,20190927,1
TRYON-Weekday-2-BUS-19-06-1111100,20191004,1
BLE-Saturday-99-RAIL-19-06-0000010,20190928,1
BLE-Saturday-99-RAIL-19-06-0000010,20191005,1
BLE-Saturday-99-RAIL-19-06-0000010,20191012,1
BLE-Saturday-99-RAIL-19-06-0000010,20191019,1
BLE-Saturday-99-RAIL-19-06-0000010,20191026,1
BLE-Saturday-99-RAIL-19-06-0000010,20191102,1
BLE-Saturday-99-RAIL-19-06-0000010,20191109,1
BLE-Saturday-99-RAIL-19-06-0000010,20191116,1
BLE-Saturday-99-RAIL-19-06-0000010,20191123,1
BLE-Saturday-99-RAIL-19-06-0000010,20191129,1
BLE-Saturday-99-RAIL-19-06-0000010,20191130,1
BLE-Saturday-99-RAIL-19-06-0000010,20191207,1
BLE-Saturday-99-RAIL-19-06-0000010,20191214,1
BLE-Saturday-99-RAIL-19-06-0000010,20191221,1
BLE-Saturday-99-RAIL-19-06-0000010,20191224,1
BLE-Saturday-99-RAIL-19-06-0000010,20191228,1
BLE-Saturday-99-RAIL-19-06-0000010,20200104,1
BLE-Saturday-99-RAIL-19-06-0000010,20200111,1
BLE-Saturday-99-RAIL-19-06-0000010,20200118,1
BLE-Saturday-99-RAIL-19-06-0000010,20200120,1
BLE-Saturday-99-RAIL-19-06-0000010,20200125,1
BLE-Saturday-99-RAIL-19-06-0000010,20200201,1
BLE-Sunday-99-RAIL-19-06-0000001,20190929,1
BLE-Sunday-99-RAIL-19-06-0000001,20191006,1
BLE-Sunday-99-RAIL-19-06-0000001,20191013,1
BLE-Sunday-99-RAIL-19-06-0000001,20191020,1
BLE-Sunday-99-RAIL-19-06-0000001,20191027,1
BLE-Sunday-99-RAIL-19-06-0000001,20191103,1
BLE-Sunday-99-RAIL-19-06-0000001,20191110,1
BLE-Sunday-99-RAIL-19-06-0000001,20191117,1
BLE-Sunday-99-RAIL-19-06-0000001,20191124,1
BLE-Sunday-99-RAIL-19-06-0000001,20191128,1
BLE-Sunday-99-RAIL-19-06-0000001,20191201,1
