stop_id,stop_code,stop_name,stop_lat,stop_lon
remix_782b8097-c092-434f-8846-8f81d56d787d,,"Untitled Stop",35.272233,-80.905850
remix_81098910-5b54-4e36-abee-424dcf207766,,"Untitled Stop",35.272381,-80.909860
46449,,"Toddville Rd & CSX Way",35.271146,-80.917331
45826,,"Toddville Rd & Eneida Sue Dr",35.266846,-80.919743
45828,,"Toddville Rd & Freedom Dr",35.263932,-80.920905
45830,,"Freedom Dr & Eagles Landing Dr",35.265793,-80.927231
46420,,"Freedom Dr & McDonald Rd",35.268087,-80.931297
45832,,"Freedom Dr & Wingate Dr",35.273116,-80.935332
remix_02ccd8b5-3f43-4829-a95d-75388dd62b64,,"Untitled Stop",35.275594,-80.938116
remix_ef19ab62-839b-4f88-bbad-510a4f46f897,,"Untitled Stop",35.275845,-80.942459
remix_5eef4c3f-93dc-409a-9ea4-5fc87dd6d3ff,,"Untitled Stop",35.275405,-80.946830
remix_88001a8d-50ea-43ee-a9a6-10175711ad07,,"Untitled Stop",35.274982,-80.951202
remix_d0cd596f-8c37-4d81-8d67-0854687d8fe1,,"Untitled Stop",35.274533,-80.955571
remix_e24cc64a-8171-475a-bed8-faa327850733,,"Untitled Stop",35.274059,-80.959927
remix_f2f00de0-42aa-4851-a379-d0a6a072bd24,,"Untitled Stop",35.273746,-80.964298
remix_bd2ce98d-84d9-453c-a08f-eea6026ad5a3,,"Untitled Stop",35.273565,-80.967600
remix_c3e0db3a-6d74-4b45-b44c-3bb92c423c6d,,"Untitled Stop",35.273640,-80.963514
remix_dd30cbff-e8d8-4cba-861b-4efdffd48746,,"Untitled Stop",35.273660,-80.961966
remix_5ec45875-6aa8-46fd-a596-94248595cddb,,"Untitled Stop",35.274082,-80.958373
remix_a74515f1-3168-4d54-b658-eb60f9d952c8,,"Untitled Stop",35.274481,-80.954555
remix_e513de91-3d13-4c5c-bf90-2c2566821dd1,,"Untitled Stop",35.274889,-80.950725
remix_36c1b696-6bc4-47f5-bc72-45902677f512,,"Untitled Stop",35.275245,-80.946889
remix_95064cd0-b1d8-4951-a508-f529b5984c96,,"Untitled Stop",35.275629,-80.943056
remix_648d76bd-f4aa-458c-b53a-4528dae994fc,,"Untitled Stop",35.275792,-80.939270
52440,,"Freedom Dr & Old Little Rock Rd",35.274220,-80.936336
45831,,"Freedom Dr & Wingate Dr",35.273261,-80.935591
remix_369f84b6-6439-4743-860c-8afe736aa2e9,,"Untitled Stop",35.270575,-80.933588
46419,,"Freedom Dr & Elmwood Cir",35.267833,-80.931595
remix_520db198-2e0a-4fe3-828c-a71b4ee19744,,"Untitled Stop",35.266656,-80.929688
